question_id,source_exam,source_file,source_category,source_question_number,category,question_type,prompt,stimulus,stimulus_type,image_filename,choice_a,choice_b,choice_c,choice_d,choice_e,correct_choice_label,correct_choice_text,explanation
E01_V_Q01,1,Course Statistics - BoostPrep.html,CCAT Verbal,1,Verbal,Analogies,,LIBRARY is to BOOKS as ...,text,,FOREST is to TREES,MUSEUM is to ARTIFACTS,OVEN is to BAKE,RIVER is to FLOW,TARGET is to AIM,B,MUSEUM is to ARTIFACTS,"B: A library is a place where books are stored or kept, just as a museum is a place where artifacts are stored or displayed. The analogy tests the relationship of a storage or containment location to the items it holds. Option A is close but represents a natural grouping rather than a built storage space. The other options involve tools for actions or purposes rather than storage."
E01_V_Q02,1,Course Statistics - BoostPrep.html,CCAT Verbal,2,Verbal,Analogies,,OCEAN is to BODY OF WATER as ...,text,,MOUNTAIN is to VALLEY,PIANO is to KEYBOARD,NOVEL is to LITERATURE,PARENT is to CHILD,DOG is to WOLF,C,NOVEL is to LITERATURE,"C: An ocean is a specific type or example of a body of water, similar to how a novel is a specific type or example of literature. This analogy examines the part-to-whole or example-to-category relationship. Options A and E show opposites or related pairs, while B and D involve instruments or familial connections, not categorical examples."
E01_V_Q03,1,Course Statistics - BoostPrep.html,CCAT Verbal,3,Verbal,Analogies,,GARAGE is to VEHICLES as ...,text,,STORM is to RAIN,ENGINE is to MACHINE,ELEPHANT is to HERD,COOKBOOK is to RECIPES,PREQUEL is to SEQUENCE,D,COOKBOOK is to RECIPES,"D: A cookbook is a collection or ""container"" for recipes, similar to a garage for vehicles. The analogy is about something that holds or organizes specific items. Options A (cause-effect), B (part-whole), C (member-group), E (part-sequence) are distractors."
E01_V_Q04,1,Course Statistics - BoostPrep.html,CCAT Verbal,4,Verbal,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence.","Despite the team's initial _________, bolstered by their early successes, they soon realized the project required far more resources than anticipated.",text,,optimism,pessimism,skepticism,cynicism,fatalism,A,optimism,"A: The sentence describes a team that started with positive expectations due to early successes but later faced challenges, so ""optimism"" fits the context of initial high hopes. The other options imply negative attitudes (pessimism, skepticism, cynicism, fatalism), which contrast with the ""bolstered by their early successes"" clue."
E01_V_Q05,1,Course Statistics - BoostPrep.html,CCAT Verbal,5,Verbal,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence.","The detective presented the evidence under the _________ of routine procedure, but in truth, it was a calculated move to _________ the suspect's confession.",text,,pretense ... elicit,openness ... suppress,veil ... enhance,cover ... conceal,banner ... undermine,A,pretense ... elicit,"A: The sentence indicates the detective was pretending the evidence presentation was routine, but the real intent was to draw out or provoke a confession, making ""pretense"" (a false show) and ""elicit"" (to draw out) the best fit. Options B and E suggest honesty or promotion, which don't align with the hidden motive. C and D involve hiding but don't match the goal of obtaining a confession."
E01_V_Q06,1,Course Statistics - BoostPrep.html,CCAT Verbal,6,Verbal,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence.","Seemingly _________ by the strict rules of the competition, the athlete chose to ignore them entirely and pursue her own unorthodox strategy.",text,,encouraged,restricted,emboldened,liberated,undeterred,E,undeterred,"E: The sentence shows the athlete was apparently not held back or discouraged by the rules, as she ignored them to follow her own path, so ""undeterred"" (not discouraged or prevented) fits the contrast implied by ""seemingly"" and the decision to proceed unconventionally. Options A and C suggest positive motivation from the rules, which doesn't match ignoring them. B and D imply limitation or freedom, but not the lack of influence."
E01_V_Q07,1,Course Statistics - BoostPrep.html,CCAT Verbal,7,Verbal,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence.","The team's decision to implement the new software gradually meant that it was challenging to _________ its impact, and the _________ of the system were not fully understood until several months later, when productivity began to decline.",text,,assess ... benefits,envision ... outcomes,track ... drawbacks,evaluate ... features,quantify ... constraints,C,track ... drawbacks,"C: The sentence describes a gradual implementation of a new software system, making it difficult to understand its impact initially, with negative consequences (declining productivity) becoming clear later. The first blank requires a verb that means observing or monitoring progress over time, and ""track"" fits best as it implies following the development or impact of something. The second blank needs a noun that aligns with the negative outcome (declining productivity), and ""drawbacks"" is the most appropriate choice, as it refers to disadvantages or negative aspects of the system."
E01_V_Q08,1,Course Statistics - BoostPrep.html,CCAT Verbal,8,Verbal,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence.","The passionate keynote speaker, who delivered an inspiring speech at the annual conference, _________ the audience to take immediate action to support the environmental initiative.",text,,deceived,urged,uncovered,expressed,ensnared,B,urged,"B: The sentence describes a keynote speaker delivering an inspiring speech to motivate the audience to support an environmental initiative. The blank requires a verb that conveys a strong call to action. ""Urged"" is the best fit, as it means to strongly encourage or persuade someone to act, aligning with the inspiring and motivational context."
E01_V_Q09,1,Course Statistics - BoostPrep.html,CCAT Verbal,9,Verbal,Antonyms,Choose the word that is most nearly OPPOSITE to the word in capital letters.,SPURIOUS,text,,authentic,costly,refurbished,fabricated,overstated,A,authentic,"A: ""Spurious"" means false, fake, or not genuine, often used to describe something that appears to be true but is not. The opposite of ""spurious"" would be a word meaning genuine or true. ""Authentic"" is the best choice, as it directly means genuine or real, clearly opposing the meaning of ""spurious."""
E01_V_Q10,1,Course Statistics - BoostPrep.html,CCAT Verbal,10,Verbal,Antonyms,Choose the word that is most nearly OPPOSITE to the word in capital letters.,ALLEGED,text,,confirmed,suspected,disputed,rumored,plausible,A,confirmed,"A: ""Alleged"" means claimed or asserted without proof, often implying uncertainty. The opposite is a word meaning verified or proven to be true. ""Confirmed"" is the best choice, as it directly means established as true, opposing the uncertainty of ""alleged."" Incorrect options (suspected, disputed, rumored, plausible) either align with uncertainty or are unrelated to the concept of proof."
E01_V_Q11,1,Course Statistics - BoostPrep.html,CCAT Verbal,11,Verbal,Analogies,,GENEROSITY is to EXTRAVAGANCE as ...,text,,PRIDE is to ARROGANCE,COURAGE is to FEAR,LOYALTY is to DUTY,TRUST is to SKEPTICISM,MODESTY is to HUMILITY,A,PRIDE is to ARROGANCE,"A: The relationship between ""generosity"" and ""extravagance"" is that extravagance is an extreme or excessive form of generosity, often with a negative connotation. Similarly, ""arrogance"" is an extreme or negative form of ""pride,"" making this the correct analogy. Incorrect options (courage to fear, loyalty to duty, trust to skepticism, modesty to humility) do not reflect the same excessive or negative escalation."
E01_V_Q12,1,Course Statistics - BoostPrep.html,CCAT Verbal,12,Verbal,Analogies,,MALICIOUS is to SPITE as ...,text,,CONSISTENT is to AGREEMENT,CAUTIOUS is to PRUDENCE,ETHICAL is to DILEMMA,CLEVER is to WIT,BOLD is to AUDACITY,B,CAUTIOUS is to PRUDENCE,"B: ""Malicious"" describes an intent to harm, and ""spite"" is the resulting action or feeling driven by that intent. Similarly, ""cautious"" describes a careful approach, and ""prudence"" is the quality or behavior that reflects caution, making this the correct analogy. Incorrect options (consistent to agreement, ethical to dilemma, clever to wit, bold to audacity) do not maintain the same intent-to-outcome relationship."
E01_V_Q13,1,Course Statistics - BoostPrep.html,CCAT Verbal,13,Verbal,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence.","The organization's _________ commitment to innovation initially fueled its rapid expansion, but a sudden _________ in funding led to project delays and diminished employee morale.",text,,steadfast ... surge,wavering ... increase,resolute ... shortfall,fleeting ... growth,inconsistent ... reduction,C,resolute ... shortfall,"C: The sentence describes an organization's strong dedication to innovation driving growth, followed by a negative shift due to funding issues, resulting in delays and low morale. The first blank needs an adjective indicating strong commitment, and ""resolute"" (meaning determined and unwavering) fits best. The second blank requires a noun indicating a negative financial change, and ""shortfall"" (a deficit or lack of funds) aligns with the context of project delays and reduced morale."
